10,bubble,1.4833E-5,3.0167E-5,2.9792E-5,45,45,45
20,bubble,7.25E-5,5.05E-5,6.7292E-5,190,190,190
30,bubble,1.42167E-4,7.2833E-5,7.4084E-5,435,435,435
40,bubble,2.41375E-4,1.41916E-4,2.77584E-4,780,780,780
50,bubble,2.55291E-4,2.73458E-4,2.08291E-4,1225,1225,1225
60,bubble,1.98167E-4,2.84875E-4,3.17792E-4,1770,1770,1770
70,bubble,2.42E-4,5.21334E-4,3.56959E-4,2415,2415,2415
80,bubble,2.69375E-4,4.80959E-4,2.635E-4,3160,3160,3160
90,bubble,6.2125E-4,4.99417E-4,3.31916E-4,4005,4005,4005
100,bubble,5.03708E-4,5.19166E-4,3.87667E-4,4950,4950,4950
110,bubble,4.14875E-4,9.24042E-4,4.98542E-4,5995,5995,5995
120,bubble,6.57834E-4,7.29667E-4,5.80875E-4,7140,7140,7140
10,merge,2.5708E-5,2.6959E-5,2.3542E-5,0,0,0
20,merge,5.925E-5,3.9625E-5,3.1083E-5,0,0,0
30,merge,1.11583E-4,6.0834E-5,4.9375E-5,0,0,0
40,merge,1.21875E-4,7.2417E-5,5.0833E-5,0,0,0
50,merge,1.67709E-4,8.1042E-5,6.4083E-5,0,0,0
60,merge,2.75959E-4,9.5708E-5,8.125E-5,0,0,0
70,merge,3.86416E-4,1.38667E-4,8.4958E-5,0,0,0
80,merge,2.28583E-4,1.30166E-4,1.04542E-4,0,0,0
90,merge,1.98917E-4,1.07042E-4,8.9125E-5,0,0,0
100,merge,2.03334E-4,1.19125E-4,9.9166E-5,0,0,0
110,merge,3.06417E-4,1.42958E-4,1.11375E-4,0,0,0
120,merge,2.27125E-4,1.69583E-4,4.87458E-4,0,0,0
10,quick,1.8791E-5,2.2791E-5,1.8917E-5,0,0,0
20,quick,3.5917E-5,6.1292E-5,3.7791E-5,0,0,0
30,quick,5.4125E-5,4.8042E-5,3.3208E-5,0,0,0
40,quick,8.4209E-5,4.325E-5,2.9083E-5,0,0,0
50,quick,8.9958E-5,5.8E-5,3.2E-5,0,0,0
60,quick,7.6125E-5,6.3083E-5,4.7708E-5,0,0,0
70,quick,2.43416E-4,1.56125E-4,4.1125E-5,0,0,0
80,quick,1.10375E-4,1.47625E-4,8.4708E-5,0,0,0
90,quick,9.7875E-5,7.5792E-5,5.175E-5,0,0,0
100,quick,1.22875E-4,8.1792E-5,5.9875E-5,0,0,0
110,quick,1.82958E-4,9.1625E-5,6.4459E-5,0,0,0
120,quick,1.11E-4,1.4025E-4,5.9958E-5,0,0,0
10,heap,3.1708E-5,2.3083E-5,2.0583E-5,0,0,0
20,heap,7.4875E-5,3.8791E-5,4.1708E-5,0,0,0
30,heap,1.57584E-4,5.7791E-5,3.2375E-5,0,0,0
40,heap,2.29792E-4,7.3917E-5,6.1166E-5,0,0,0
50,heap,4.76791E-4,8.4666E-5,1.8041E-5,0,0,0
60,heap,2.23042E-4,2.66042E-4,6.5541E-5,0,0,0
70,heap,2.69125E-4,4.1959E-5,2.0458E-5,0,0,0
80,heap,4.60875E-4,4.7583E-5,2.4708E-5,0,0,0
90,heap,4.70333E-4,9.7792E-5,6.2459E-5,0,0,0
100,heap,2.91708E-4,1.05709E-4,3.2042E-5,0,0,0
110,heap,6.42208E-4,2.0825E-4,4.175E-5,0,0,0
120,heap,0.001203666,2.62209E-4,1.07166E-4,0,0,0
10,transposition,5.417E-6,2.4209E-5,3.5917E-5,2,10,12
20,transposition,9.167E-6,8.675E-5,9.9583E-5,2,18,22
30,transposition,1.1833E-5,2.95416E-4,1.04458E-4,2,28,32
40,transposition,1.75E-5,3.15041E-4,8.1708E-5,2,42,42
50,transposition,3.9292E-5,2.63042E-4,1.15458E-4,2,48,52
60,transposition,1.5083E-5,5.07042E-4,2.45375E-4,2,58,62
70,transposition,2.0542E-5,4.31583E-4,2.13875E-4,2,62,72
80,transposition,1.9542E-5,8.53042E-4,5.99458E-4,2,78,82
90,transposition,1.6042E-5,7.45167E-4,4.38292E-4,2,80,92
100,transposition,2.4584E-5,8.60959E-4,4.74125E-4,2,88,102
110,transposition,2.8292E-5,8.1875E-4,5.33625E-4,2,112,112
120,transposition,2.275E-5,8.0475E-4,6.36375E-4,2,112,122
